selecao,pos,pontos,grupo,,
México,15,1681.03,A,"1681,03","6200,80"
Coréia do Sul,25,1588.66,A,"1588,66",
Tchéquia,41,1501.38,A,"1501,38",
África do Sul,60,1429.73,A,"1429,73",
Suíça,19,1649.4,B,"1649,40","6046,68"
Canadá,30,1556.48,B,"1556,48",
Catar,55,1454.96,B,"1454,96",
Bósnia e Herzegovina,65,1385.84,B,"1385,84",
Brasil,6,1761.16,C,"1761,16","6307,09"
Marrocos,8,1755.87,C,"1755,87",
Escócia,43,1498.35,C,"1498,35",
Haiti,83,1291.71,C,"1291,71",
Estados Unidos,16,1673.13,D,"1673,13","6356,34"
Turquia,22,1599.04,D,"1599,04",
Austrália,27,1580.67,D,"1580,67",
Paraguai,40,1503.5,D,"1503,50",
Alemanha,10,1730.37,E,"1730,37","6152,78"
Equador,23,1594.78,E,"1594,78",
Costa do Marfim,34,1532.98,E,"1532,98",
Curação,82,1294.65,E,"1294,65",
Holanda,7,1757.87,F,"1757,87","6416,12"
Japão,18,1660.43,F,"1660,43",
Suécia,38,1514.77,F,"1514,77",
Tunísia,44,1483.05,F,"1483,05",
Bélgica,9,1734.71,G,"1734,71","6194,82"
Irã,21,1615.3,G,"1615,30",
Egito,29,1563.24,G,"1563,24",
Nova Zelândia,85,1281.57,G,"1281,57",
Espanha,2,1876.4,H,"1876,40","6337,03"
Uruguai,17,1673.07,H,"1673,07",
Arábia Saudita,61,1421.43,H,"1421,43",
Cabo Verde,69,1366.13,H,"1366,13",
França,1,1877.32,I,"1877,32","6564,39"
Senegal,14,1688.99,I,"1688,99",
Noruega,31,1550.94,I,"1550,94",
Iraque,57,1447.14,I,"1447,14",
Argentina,3,1874.81,J,"1874,81","6423,97"
Áustria,24,1593.45,J,"1593,45",
Argélia,28,1564.26,J,"1564,26",
Jordânia,63,1391.45,J,"1391,45",
Portugal,5,1763.83,K,"1763,83","6400,61"
Colômbia,13,1693.09,K,"1693,09",
RD Congo,46,1478.35,K,"1478,35",
Uzbequistão,50,1465.34,K,"1465,34",
Inglaterra,4,1825.97,L,"1825,97","6429,99"
Croácia,11,1717.07,L,"1717,07",
Panamá,33,1540.64,L,"1540,64",
Gana,74,1346.31,L,"1346,31",
