França,1,1877.32,I
Espanha,2,1876.4,H
Argentina,3,1874.81,J
Inglaterra,4,1825.97,L
Portugal,5,1763.83,K
Brasil,6,1761.16,C
Holanda,7,1757.87,F
Marrocos,8,1755.87,C
Bélgica,9,1734.71,G
Alemanha,10,1730.37,E
Croácia,11,1717.07,L
Colômbia,13,1693.09,K
Senegal,14,1688.99,I
México,15,1681.03,A
Estados Unidos,16,1673.13,D
Uruguai,17,1673.07,H
Japão,18,1660.43,F
Suíça,19,1649.4,B
Irã,21,1615.3,G
Turquia,22,1599.04,D
Equador,23,1594.78,E
Áustria,24,1593.45,J
Coréia do Sul,25,1588.66,A
Austrália,27,1580.67,D
Argélia,28,1564.26,J
Egito,29,1563.24,G
Canadá,30,1556.48,B
Noruega,31,1550.94,I
Panamá,33,1540.64,L
Costa do Marfim,34,1532.98,E
Suécia,38,1514.77,F
Paraguai,40,1503.5,D
Tchéquia,41,1501.38,A
Escócia,43,1498.35,C
Tunísia,44,1483.05,F
RD Congo,46,1478.35,K
Uzbequistão,50,1465.34,K
Catar,55,1454.96,B
Iraque,57,1447.14,I
África do Sul,60,1429.73,A
Arábia Saudita,61,1421.43,H
Jordânia,63,1391.45,J
Bósnia e Herzegovina,65,1385.84,B
Cabo Verde,69,1366.13,H
Gana,74,1346.31,L
Curação,82,1294.65,E
Haiti,83,1291.71,C
Nova Zelândia,85,1281.57,G
